id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C,T1_NP_FCC,T1_NP_L12,T1_NP_M23C6,T1_NP_M2B_CB,T1_NP_M3B2_D5A,T1_NP_NbC,T1_NP_NIAL_B2,T1_VPV_FCC,T1_VPV_FECR_B2,T1_VPV_L12,T1_VPV_LAVES_C14,T1_VPV_M23C6,T1_VPV_M2B_CB,T1_VPV_M3B2_D5A,T1_VPV_NbC,T1_VPV_NIAL_B2,T1_VPV_SIGMA,T2_NP_FCC,T2_NP_FECR_B2,T2_NP_L12,T2_NP_LAVES_C14,T2_NP_M23C6,T2_NP_M2B_CB,T2_NP_M3B2_D5A,T2_NP_NbC,T2_NP_NIAL_B2,T2_NP_SIGMA,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA,dFCC,dFECR_B2,dL12,dLAVES_C14,dM23C6,dM2B_CB,dM3B2_D5A,dNbC,dNIAL_B2,dSIGMA
11,FNC29,21667.32637,185.6,170,1200,700,500,1.01E-12,5.23E-05,4.71E-05,0.19980924,9.40E-13,0.47412119,1.03E-12,9.46E-13,2.00E-02,0.3017139,4.23E-03,2.44E-12,9.46E-13,9.91E-13,9.40E-13,1.37E-12,424.628,0.94584042,0,0,0,0,0,0,0.94102446,0,0,0,0,0,0,0,0,0,0.91344616,0,0,0,0,1.28E-04,0,4.05E-05,0,7.04E-03,0.91358391,0,0,0,0,1.27E-04,0,4.04E-05,0,7.10E-03,-0.0274405,0,0,0,0,0.000127257,0,4.04E-05,0,0.00710046
12,FNC29,22605.84923,125.2,100,1200,750,450,9.44E-13,5.23E-05,4.71E-05,0.19980924,9.40E-13,0.47412119,1.01E-12,9.40E-13,2.00E-02,0.3017139,4.23E-03,1.37E-12,9.40E-13,9.40E-13,9.40E-13,1.05E-12,424.628,0.94584042,0,0,0,0,0,0,0.94102446,0,0,0,0,0,0,0,0,0,0.92119205,0,0,0,0,1.05E-04,0,2.44E-05,0,0,0.92146724,0,0,0,0,1.04E-04,0,2.43E-05,0,0,-0.0195572,0,0,0,0,0.000104138,0,2.43E-05,0,0
13,FNC33,23538.84212,1022.4,100,1200,750,450,9.96E-13,1.05E-04,1.41E-04,0.19986007,9.82E-13,0.47908868,1.05E-12,9.73E-13,1.77E-02,0.30125114,2.02E-04,9.95E-13,9.82E-13,9.75E-13,6.37E-12,1.61E-03,125.532,0.94903232,0,0,0,0,0,0,0.94339345,0,0,0,0,0,0,0,0,0,0.92972575,0,0,0,0,1.29E-04,0,0,0,0,0.92980494,0,0,0,0,1.28E-04,0,0,0,0,-0.0135885,0,0,0,0,0.000128272,0,0,0,0
14,FNC35,23238.12953,519.6,100,1200,750,450,5.69E-02,6.56E-04,1.82E-03,0.14394281,1.04E-12,0.53867817,1.89E-03,7.11E-03,3.35E-03,0.24156294,3.69E-03,4.51E-12,1.07E-12,4.45E-04,1.08E-12,2.88E-12,1.841,0.99761728,0,0,1.23E-03,0,1.15E-03,0,0.99772371,0,0,0,0,1.18E-03,0,1.10E-03,0,0,0.99447337,0,0,0,0,0,1.63E-03,3.89E-03,0,0,0.99464155,0,0,0,0,0,1.53E-03,3.83E-03,0,0,-0.00308216,0,0,0,0,-0.00117942,0.00152695,0.00273464,0,0
15,HTUPS10,23419.06822,780.8,100,1200,750,450,5.99E-02,5.59E-04,3.98E-03,0.15198578,4.15E-03,0.54537641,1.94E-02,1.15E-02,8.75E-03,0.18774323,2.54E-03,1.26E-03,1.43E-12,2.90E-03,3.47E-12,2.53E-12,2.198,0.98606686,0,0,0,0,7.65E-03,0,0.9864195,0,0,0,0,0,0,7.16E-03,0,0,0.95137983,0,0,3.73E-02,0,0,1.39E-03,8.56E-03,1.41E-03,0,0.94755867,0,0,4.16E-02,0,0,1.28E-03,8.16E-03,1.36E-03,0,-0.0388608,0,0,0.0416438,0,0,0.00128111,0.000998564,0.00135767,0
16,H12-GE,24345.5249,6283,100,1250,750,500,7.57E-02,3.53E-04,3.94E-03,0.12848286,4.28E-03,0.55518016,1.98E-02,1.16E-02,3.69E-03,0.1905491,2.71E-03,6.82E-04,1.47E-12,3.05E-03,4.34E-12,9.60E-12,0.937,0.99214467,0,0,0,0,4.53E-03,0,0.9925032,0,0,0,0,0,0,4.14E-03,0,0,0.92199589,0,0,2.11E-02,3.01E-04,0,8.77E-04,8.01E-03,4.77E-02,0,0.92219056,0,0,2.32E-02,2.65E-04,0,8.15E-04,7.54E-03,4.60E-02,0,-0.0703126,0,0,0.0231943,0.000265363,0,0.000815265,0.00340263,0.0459933,0
17,H12-GE,22998.22246,302.8,170,1150,750,400,7.57E-02,3.53E-04,3.94E-03,0.12848286,4.28E-03,0.55518016,1.98E-02,1.16E-02,3.69E-03,0.1905491,2.71E-03,6.82E-04,1.47E-12,3.05E-03,4.34E-12,9.69E-12,0.937,0.99339938,0,0,0,6.32E-04,5.97E-03,0,0.993944,0,0,0,0,0,5.72E-04,5.48E-03,0,0,0.92199589,0,0,2.11E-02,3.01E-04,0,8.77E-04,8.01E-03,4.77E-02,0,0.92219056,0,0,2.32E-02,2.65E-04,0,8.15E-04,7.54E-03,4.60E-02,0,-0.0717534,0,0,0.0231943,0.000265363,0,0.000243451,0.00205702,0.0459933,0
18,AFA1,21312.47097,1231.5,250,1250,650,600,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,2.49E-11,2.28E-12,2.96E-03,1.08E-11,1.76E-11,1.306,0.98993712,0,0,0,0,5.93E-03,0,0.99020839,0,0,0,0,0,0,5.58E-03,0,0,0.8922368,2.62E-02,0,3.75E-02,0,1.07E-03,0,9.74E-03,3.32E-02,0,0.88913159,2.63E-02,0,4.17E-02,0,1.03E-03,0,9.50E-03,3.23E-02,0,-0.101077,0.0263204,0,0.0416696,0,0.0010313,0,0.00392087,0.0323448,0
19,AFA1,23703.92758,1482.5,100,1250,750,500,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,9.30E-12,1.21E-12,2.96E-03,2.95E-12,6.63E-12,1.306,0.98993712,0,0,0,0,5.93E-03,0,0.99020839,0,0,0,0,0,0,5.58E-03,0,0,0.96688994,0,0,2.25E-02,0,0,8.83E-04,9.70E-03,0,0,0.96495236,0,0,2.48E-02,0,0,8.18E-04,9.38E-03,0,0,-0.025256,0,0,0.024846,0,0,0.000818048,0.00380211,0,0
20,AFA1,24287.65827,431.8,70,1250,800,450,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,8.74E-12,1.15E-12,2.96E-03,2.45E-12,6.16E-12,1.306,0.98993712,0,0,0,0,5.93E-03,0,0.99020839,0,0,0,0,0,0,5.58E-03,0,0,0.97568725,0,0,1.38E-02,0,0,8.78E-04,9.67E-03,0,0,0.97470667,0,0,1.51E-02,0,0,8.14E-04,9.34E-03,0,0,-0.0155017,0,0,0.015139,0,0,0.000814399,0.00375849,0,0
21,AFA1,22852.44475,218.1,170,1250,750,500,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,9.30E-12,1.21E-12,2.96E-03,2.95E-12,6.63E-12,1.306,0.98993712,0,0,0,0,5.93E-03,0,0.99020839,0,0,0,0,0,0,5.58E-03,0,0,0.96688994,0,0,2.25E-02,0,0,8.83E-04,9.70E-03,0,0,0.96495236,0,0,2.48E-02,0,0,8.18E-04,9.38E-03,0,0,-0.025256,0,0,0.024846,0,0,0.000818048,0.00380211,0,0
22,AFA2,22734.63635,167.3,170,1250,750,500,5.82E-02,2.54E-04,4.57E-03,0.15044512,4.06E-03,0.54863593,1.94E-02,1.15E-02,6.03E-03,0.18847082,2.74E-03,9.18E-12,2.80E-03,2.93E-03,3.14E-12,6.41E-12,1.319,0.9913867,0,0,0,0,6.00E-03,0,0.99169018,0,0,0,0,0,0,5.64E-03,0,0,0.96683281,0,0,2.28E-02,0,0,6.29E-04,9.71E-03,0,0,0.96484024,0,0,2.52E-02,0,0,5.82E-04,9.39E-03,0,0,-0.0268499,0,0,0.0251862,0,0,0.000582464,0.00375201,0,0
23,AFA3,22566.54586,114.6,170,1250,750,500,5.94E-02,3.04E-04,5.02E-03,0.15130997,4.06E-03,0.54950558,1.93E-02,1.15E-02,6.02E-03,0.18799066,2.54E-03,1.05E-11,1.21E-12,2.98E-03,1.17E-04,7.74E-12,1.199,0.98668561,0,0,0,0,6.49E-03,0,0.98689545,0,0,0,0,0,0,6.09E-03,0,0,0.96647776,0,0,2.17E-02,0,0,7.55E-04,1.06E-02,0,0,0.96475361,0,0,2.38E-02,0,0,7.00E-04,1.02E-02,0,0,-0.0221418,0,0,0.0238377,0,0,0.000700013,0.00408052,0,0
