LMP,Stress,T2,dT,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA
21636.27848,200,650,550,0.87535312,0,3.50E-02,4.21E-02,0,1.04E-03,0,3.73E-03,2.16E-02,2.10E-02
21404.0809,250,650,550,0.87535312,0,3.50E-02,4.21E-02,0,1.04E-03,0,3.73E-03,2.16E-02,2.10E-02
21074.99478,300,650,550,0.87535312,0,3.50E-02,4.21E-02,0,1.04E-03,0,3.73E-03,2.16E-02,2.10E-02
21993.17549,170,700,500,0.92451597,0,2.40E-02,3.81E-02,0,0,8.22E-04,3.74E-03,8.80E-03,0
21151.83348,200,700,500,0.92451597,0,2.40E-02,3.81E-02,0,0,8.22E-04,3.74E-03,8.80E-03,0
23361.62433,100,750,450,0.95367498,0,9.68E-03,3.21E-02,0,0,8.19E-04,3.75E-03,0,0
23273.92789,100,750,450,0.89247656,0,0,4.21E-02,0,0,6.95E-04,7.82E-03,5.69E-02,0
21080.3158,250,650,550,0.78563744,0,0,4.44E-02,0,8.89E-04,0,8.66E-03,8.70E-02,3.93E-02
21788.09414,170,700,500,0.84859734,0,6.81E-02,4.60E-02,0,8.77E-04,0,8.65E-03,2.78E-02,0
21555.9583,200,700,500,0.84859734,0,6.81E-02,4.60E-02,0,8.77E-04,0,8.65E-03,2.78E-02,0
23312.87474,100,750,450,0.87994475,0,5.19E-02,4.11E-02,0,0,6.96E-04,8.66E-03,1.77E-02,0
22360.66778,130,750,450,0.87994475,0,5.19E-02,4.11E-02,0,0,6.96E-04,8.66E-03,1.77E-02,0
21741.66865,170,750,450,0.87994475,0,5.19E-02,4.11E-02,0,0,6.96E-04,8.66E-03,1.77E-02,0
23647.86559,70,800,400,0.91437569,0,3.57E-02,3.50E-02,0,0,6.91E-04,8.67E-03,5.56E-03,0
20533.97242,250,650,450,0.78563744,0,0,4.44E-02,0,8.89E-04,0,8.66E-03,8.70E-02,3.93E-02
21024.56751,250,650,550,0.76905123,0,0,4.26E-02,0,0,0,9.52E-03,9.29E-02,5.31E-02
21288.39104,250,650,450,0.89782594,0,1.48E-03,4.13E-02,0,1.33E-03,0,9.63E-03,3.89E-02,9.50E-03
22616.02276,100,750,350,0.96258314,0,0,2.36E-02,0,0,1.06E-03,9.53E-03,3.27E-03,0
23804.47838,70,800,300,0.97648108,0,0,1.30E-02,0,0,1.05E-03,9.49E-03,0,0
23034.95634,130,750,450,0.96258314,0,0,2.36E-02,0,0,1.06E-03,9.53E-03,3.27E-03,0
24473.28284,70,800,400,0.97648108,0,0,1.30E-02,0,0,1.05E-03,9.49E-03,0,0
21375.47467,250,650,450,0.82866625,1.76E-02,0,0,0,1.17E-03,0,8.98E-03,7.91E-02,2.90E-02
23130.16055,100,750,350,0.9166301,0,7.11E-02,0,0,1.15E-03,0,9.01E-03,2.14E-03,0
20742.3542,250,650,550,0.77877418,0,0,4.23E-02,0,1.33E-03,0,1.02E-02,8.89E-02,4.68E-02
22549.55475,100,750,450,0.88066008,0,5.09E-02,3.70E-02,0,0,1.05E-03,1.01E-02,2.03E-02,0
20697.41156,250,650,450,0.91811007,0,0,1.61E-03,0,1.30E-03,0,1.03E-02,2.17E-02,4.06E-02
22641.30166,100,750,350,0.9885065,0,0,0,0,1.29E-03,0,1.02E-02,0,0
20950.3468,250,650,550,0.91811007,0,0,1.61E-03,0,1.30E-03,0,1.03E-02,2.17E-02,4.06E-02
20896.70546,250,650,550,0.81326946,0.14499907,0,0,1.27E-02,1.41E-03,0,1.17E-02,1.13E-02,0
22947.7785,100,750,450,0.93777506,3.72E-02,0,0,1.20E-02,1.38E-03,0,1.16E-02,0,0
